,Ene_FLAT_VOL30_PEAK70,Dist_FLAT_VOL30_PEAK70,Ene_FLAT_VOL100_PEAK0,Dist_FLAT_VOL100_PEAK0,Ene_FLAT_VOL10_PEAK90,Dist_FLAT_VOL10_PEAK90,Ene_UKE7_VOL30_PEAK70,Dist_UKE7_VOL30_PEAK70,Ene_UKE7_VOL100_PEAK0,Dist_UKE7_VOL100_PEAK0,Ene_UKE7_VOL10_PEAK90,Dist_UKE7_VOL10_PEAK90,Ene_Cmg_VOL30_PEAK70,Dist_Cmg_VOL30_PEAK70,Ene_Cmg_VOL100_PEAK0,Dist_Cmg_VOL100_PEAK0,Ene_Cmg_VOL10_PEAK90,Dist_Cmg_VOL10_PEAK90
0,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
1,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12792.00996371262,3405.2279848525905,12792.00996371262,14612.088786053104,12792.00996371262,1024.7073738280394
2,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12270.344308449887,3405.2279848525905,12270.344308449887,14612.088786053104,12270.344308449887,1024.7073738280394
3,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10742.15197478144,3405.2279848525905,10742.15197478144,14612.088786053104,10742.15197478144,1024.7073738280394
4,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10681.344321714003,3405.2279848525905,10681.344321714003,14612.088786053104,10681.344321714003,1024.7073738280394
5,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,11564.655492588328,3405.2279848525905,11564.655492588328,14612.088786053104,11564.655492588328,1024.7073738280394
6,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
7,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,13507.299987953244,3405.2279848525905,13507.299987953244,14612.088786053104,13507.299987953244,1024.7073738280394
8,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,6336.797530185387,3405.2279848525905,6336.797530185387,14612.088786053104,6336.797530185387,1024.7073738280394
9,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
10,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
11,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
12,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
13,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
14,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
15,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
16,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,6804.056337966736,3405.2279848525905,6804.056337966736,14612.088786053104,6804.056337966736,1024.7073738280394
17,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,23751.789328419625,3405.2279848525905,23751.789328419625,14612.088786053104,23751.789328419625,1024.7073738280394
18,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,26388.921229870506,3405.2279848525905,26388.921229870506,14612.088786053104,26388.921229870506,1024.7073738280394
19,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21941.961548965166,3405.2279848525905,21941.961548965166,14612.088786053104,21941.961548965166,1024.7073738280394
20,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21156.262663278034,3405.2279848525905,21156.262663278034,14612.088786053104,21156.262663278034,1024.7073738280394
21,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21156.262663278034,3405.2279848525905,21156.262663278034,14612.088786053104,21156.262663278034,1024.7073738280394
22,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,20500.180090708334,3405.2279848525905,20500.180090708334,14612.088786053104,20500.180090708334,1024.7073738280394
23,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,17219.767227859837,3405.2279848525905,17219.767227859837,14612.088786053104,17219.767227859837,1024.7073738280394
24,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
25,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12792.00996371262,3405.2279848525905,12792.00996371262,14612.088786053104,12792.00996371262,1024.7073738280394
26,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12270.344308449887,3405.2279848525905,12270.344308449887,14612.088786053104,12270.344308449887,1024.7073738280394
27,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10742.15197478144,3405.2279848525905,10742.15197478144,14612.088786053104,10742.15197478144,1024.7073738280394
28,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10681.344321714003,3405.2279848525905,10681.344321714003,14612.088786053104,10681.344321714003,1024.7073738280394
29,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,11564.655492588328,3405.2279848525905,11564.655492588328,14612.088786053104,11564.655492588328,1024.7073738280394
30,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
31,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,13507.299987953244,3405.2279848525905,13507.299987953244,14612.088786053104,13507.299987953244,1024.7073738280394
32,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,6336.797530185387,3405.2279848525905,6336.797530185387,14612.088786053104,6336.797530185387,1024.7073738280394
33,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
34,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
35,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
36,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
37,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
38,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
39,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
40,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,6804.056337966736,3405.2279848525905,6804.056337966736,14612.088786053104,6804.056337966736,1024.7073738280394
41,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,23751.789328419625,3405.2279848525905,23751.789328419625,14612.088786053104,23751.789328419625,1024.7073738280394
42,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,26388.921229870506,3405.2279848525905,26388.921229870506,14612.088786053104,26388.921229870506,1024.7073738280394
43,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21941.961548965166,3405.2279848525905,21941.961548965166,14612.088786053104,21941.961548965166,1024.7073738280394
44,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21156.262663278034,3405.2279848525905,21156.262663278034,14612.088786053104,21156.262663278034,1024.7073738280394
45,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,21156.262663278034,3405.2279848525905,21156.262663278034,14612.088786053104,21156.262663278034,1024.7073738280394
46,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,20500.180090708334,3405.2279848525905,20500.180090708334,14612.088786053104,20500.180090708334,1024.7073738280394
47,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,17219.767227859837,3405.2279848525905,17219.767227859837,14612.088786053104,17219.767227859837,1024.7073738280394
48,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,72.27283230397919,18.71004387281643,72.27283230397919,80.2862021211709,72.27283230397919,5.630260295758458
49,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,70.28576903138803,18.71004387281643,70.28576903138803,80.2862021211709,70.28576903138803,5.630260295758458
50,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,67.41947422225212,18.71004387281643,67.41947422225212,80.2862021211709,67.41947422225212,5.630260295758458
51,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,59.02281304824967,18.71004387281643,59.02281304824967,80.2862021211709,59.02281304824967,5.630260295758458
52,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,58.68870506436266,18.71004387281643,58.68870506436266,80.2862021211709,58.68870506436266,5.630260295758458
53,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,63.54206314608972,18.71004387281643,63.54206314608972,80.2862021211709,63.54206314608972,5.630260295758458
54,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,66.10375060586708,23.005227698903784,66.10375060586708,80.28675637747132,66.10375060586708,6.252002164584131,72.27283230397919,18.71004387281643,72.27283230397919,80.2862021211709,72.27283230397919,5.630260295758458
55,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,74.2159339997431,18.71004387281643,74.2159339997431,80.2862021211709,74.2159339997431,5.630260295758458
56,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,34.81756884717245,18.71004387281643,34.81756884717245,80.2862021211709,34.81756884717245,49375.57055354865
57,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
58,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
59,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
60,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,39017.736203251116,0.0,80.2862021211709,0.0,5.630260295758458
61,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
62,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
63,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,0.0,18.71004387281643,0.0,80.2862021211709,0.0,5.630260295758458
64,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,37.38492493388316,18.71004387281643,37.38492493388316,80.2862021211709,37.38492493388316,5.630260295758458
65,68.61636061500617,38704.065728927875,68.61636061500617,80.28675614986983,68.61636061500617,49810.11002914529,71.50924989441941,38704.06296236631,71.50924989441941,80.28675637747132,71.50924989441941,49811.41735680885,130.5043369693386,18.71004387281643,130.5043369693386,80.2862021211709,130.5043369693386,5.630260295758458
66,68.61636061500617,38704.065728927875,68.61636061500617,80.28675614986983,68.61636061500617,49810.11002914529,71.50924989441941,38704.06296236631,71.50924989441941,80.28675637747132,71.50924989441941,49811.41735680885,144.9940726915962,39017.736203251116,144.9940726915962,80.2862021211709,144.9940726915962,49375.57055354865
67,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,120.5602282910174,18.71004387281643,120.5602282910174,80.2862021211709,120.5602282910174,5.630260295758458
68,68.61636061500617,38704.065728927875,68.61636061500617,80.28675614986983,68.61636061500617,49810.11002914529,71.50924989441941,38704.06296236631,71.50924989441941,80.28675637747132,71.50924989441941,49811.41735680885,116.2432014465826,18.71004387281643,116.2432014465826,80.2862021211709,116.2432014465826,49375.57055354865
69,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,116.2432014465826,39017.736203251116,116.2432014465826,80.2862021211709,116.2432014465826,5.630260295758458
70,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,112.6383521467491,18.71004387281643,112.6383521467491,80.2862021211709,112.6383521467491,5.630260295758458
71,68.61636061500617,23.004792065472156,68.61636061500617,80.28675614986983,68.61636061500617,5.652321551220301,71.50924989441941,23.005227698903784,71.50924989441941,80.28675637747132,71.50924989441941,6.252002164584131,94.61410564758151,18.71004387281643,94.61410564758151,80.2862021211709,94.61410564758151,5.630260295758458
